SIS_CD,PLAN_DESCR,PLAN_TYPE,PLO_NBR,PLO
MS  217ALS,Clinical Nutrition MS,MAJ,2,Articulating and demonstrating advanced skills in nutritional assessment and nutritional care of patients with complicated disorders/diseases in a clinical or community setting.
MS  217ALS,Clinical Nutrition MS,MAJ,3,Demonstrating advanced skills in nutrition counseling and education needed to precipitate behavior and cognitive change.
MS  217ALS,Clinical Nutrition MS,MAJ,4,"Formulating systems to gather, analyze and interpret data from a practice setting to develop appropriate protocols and care plans using the nutritional care process."
MS  217ALS,Clinical Nutrition MS,MAJ,5,Formulate problem statements and writing research proposals using appropriate study design.
MS  217ALS,Clinical Nutrition MS,MAJ,6,"Demonstrating an ability to understand, interpret, evaluate, and design clinical nutrition research."
MS  217ALS,Clinical Nutrition MS,MAJ,7,"Demonstrating high level problem-solving, critical thinking, and use of informatics required in advanced clinical nutrition practice."
MS  217ALS,Clinical Nutrition MS,MAJ,8,"Demonstrating advanced professional skills in communication, information and project management, leadership, and ethics."
MS  868EDU,Clinical Rehab Counseling MS,MAJ,1,"Demonstrate mastery of the knowledge domains of the rehabilitation counseling profession including understanding the theoretical and historical foundations of the field of rehabilitation counseling and the ability to identify current best practices and challenges in the field. Specific knowledge domains are outlined by the rehabilitation counseling professional accrediting body, Council for the Accreditation of Counseling and Related Programs (CACREP)."
MS  868EDU,Clinical Rehab Counseling MS,MAJ,2,Successfully apply the knowledge gained through course work to practical experiences in community rehabilitation settings.
MS  868EDU,Clinical Rehab Counseling MS,MAJ,3,"Be prepared to enter professional positions in fields related to rehabilitation counseling including vocational rehabilitation, mental health counseling, advocacy, and support of individuals with disabilities."
MS  868EDU,Clinical Rehab Counseling MS,MAJ,4,Recognize and apply principles of ethical and professional conduct.
MS  868EDU,Clinical Rehab Counseling MS,MAJ,5,Meet learning outcomes related to CACREP (Council for Accreditation of Counseling and Related Educational Programs) standards. 
HEC 879,Cnsr Behvr & Mktplce Stds BS,MAJ,1,Invoke interdisciplinary and collaborative approaches to understand the interactions between individuals and their social and environmental contexts.
HEC 879,Cnsr Behvr & Mktplce Stds BS,MAJ,2,"Demonstrate the ability to harness, analyze and interpret relevant data for making real world decisions."
HEC 879,Cnsr Behvr & Mktplce Stds BS,MAJ,3,"Acquire professional and life skills related to workplace communication, teamwork, active listening and adapting to technology."
HEC 879,Cnsr Behvr & Mktplce Stds BS,MAJ,4,Demonstrate an understanding of the global retail industry and how retailers can enhance consumer well-being.
BA  216,Comm Sciences & Disorders BA,MAJ,1,"Acquire a foundational understanding of basic anatomy and physiology of speech, language, and hearing."
BA  216,Comm Sciences & Disorders BA,MAJ,2,"Understand integrative neuroscience foundations of speech, language, and hearing."
BA  216,Comm Sciences & Disorders BA,MAJ,3,"Obtain basic knowledge in statistical sciences, linguistics, biological/physical sciences, social sciences, and humanities as related to Communication Sciences & Disorders."
BA  216,Comm Sciences & Disorders BA,MAJ,4,"Develop an understanding of speech, language, and hearing disorders and the relationship to foundational aspects of speech, language and hearing science."
BA  216,Comm Sciences & Disorders BA,MAJ,5,Be prepared for graduate school and/or a career in Communication Sciences & Disorders and related areas.
SED 216,Comm Sciences & Disorders BSE,MAJ,1,"Ability to successfully integrate subject knowledge and pedagogy knowledge flexibly in authentic situations through field experiences with secondary students under the supervision of highly qualified, experienced teachers and university supervisors."
SED 216,Comm Sciences & Disorders BSE,MAJ,2,Students will be prepared for recommendation for initial licensure in the state of Wisconsin and beyond in accordance with state standards.
UNCS212,Comm Sciences & Disorders CAP,CAP,1,"Obtain basic foundational knowledge of normal aspects of speech, language, and hearing."
UNCS212,Comm Sciences & Disorders CAP,CAP,2,"Obtain a broad based understanding of the range of speech, language, and hearing disorders."
UNCS212,Comm Sciences & Disorders CAP,CAP,3,"Understand general principles of assessment and intervention in speech, language, and hearing disorders."
UNCS212,Comm Sciences & Disorders CAP,CAP,4,"Gain observational clinical exposure to a range of patients with speech, language, and hearing disorders. "
MS  216L&S,Comm Sciences & Disorders MS,MAJ,1,(Foundations of Practice) Possess foundational knowledge about basic human communication and swallowing processes.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,2,(Foundations of Practice) Identify sources and assemble evidence pertaining to questions or challenges in communication sciences and disorders.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,3,"(Foundations of Practice) Articulate and critique the theories, research methods, and approaches in speech-language pathology."
MS  216L&S,Comm Sciences & Disorders MS,MAJ,4,(Foundations of Practice) Integrate research principles into evidence-based clinical practice.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,5,(Foundations of Practice) Apply research findings in the provision of patient care.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,6,(Foundations of Practice) Communicate complex ideas in a clear and understandable manner.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,7,"(Prevention, Identification and Assessment) Conduct screening and prevention procedures."
MS  216L&S,Comm Sciences & Disorders MS,MAJ,8,"(Prevention, Identification and Assessment) Perform chart review and collect case history from patient interviews and/or relevant others."
MS  216L&S,Comm Sciences & Disorders MS,MAJ,9,"(Prevention, Identification and Assessment) Select appropriate evaluation instruments/procedures."
MS  216L&S,Comm Sciences & Disorders MS,MAJ,10,"(Prevention, Identification and Assessment) Administer and score diagnostic tests correctly."
MS  216L&S,Comm Sciences & Disorders MS,MAJ,11,"(Prevention, Identification and Assessment) Adapt evaluation procedures to meet patient needs."
MS  216L&S,Comm Sciences & Disorders MS,MAJ,12,"(Prevention, Identification and Assessment) Possess knowledge of etiologies and characteristics for each communication and swallowing disorder."
MS  216L&S,Comm Sciences & Disorders MS,MAJ,13,"(Prevention, Identification and Assessment) Interpret and formulate diagnosis from test results, history, and other behavioral observations."
MS  216L&S,Comm Sciences & Disorders MS,MAJ,14,"(Prevention, Identification and Assessment) Make appropriate recommendations for intervention."
MS  216L&S,Comm Sciences & Disorders MS,MAJ,15,"(Prevention, Identification and Assessment) Complete administrative functions and documentation necessary to support evaluation."
MS  216L&S,Comm Sciences & Disorders MS,MAJ,16,"(Prevention, Identification and Assessment) Make appropriate recommendations for patient referrals."
MS  216L&S,Comm Sciences & Disorders MS,MAJ,17,(Intervention) Develop appropriate treatment plans with measurable and achievable goals.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,18,(Intervention) Collaborate with clients/patients and relevant others in the planning process.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,19,(Intervention) Implement treatment plans.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,20,(Intervention) Select and use appropriate materials/instrumentation.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,21,(Intervention) Sequence tasks to meet objectives.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,22,(Intervention) Provide appropriate introduction/explanation of tasks.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,23,(Intervention) Measure and evaluate patients' performance and progress.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,24,"(Intervention) Use appropriate models, prompts, or cues."
MS  216L&S,Comm Sciences & Disorders MS,MAJ,25,(Intervention) Adapt treatment session to meet individual patient needs.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,26,(Intervention) Complete administrative functions and documentation necessary to support treatment.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,27,(Intervention) Identify and refer patients for services as appropriate.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,28,(Professional Conduct) Recognize and apply principles of ethical and professional conduct.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,29,(Professional Conduct) Apply skills for life-long learning.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,30,(Professional Conduct) Apply intercultural knowledge and competence in their practice.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,31,(Professional Conduct) Demonstrate teamwork and problem solving.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,32,(Professional Conduct) Possess knowledge of contemporary professional issues and advocacy.
MS  216L&S,Comm Sciences & Disorders MS,MAJ,33,"(Professional Conduct) Communicate effectively, recognizing the needs, values, preferred mode of communication, and cultural/linguistic background of the patient, family, caregiver, and relevant others."
MS  216L&S,Comm Sciences & Disorders MS,MAJ,34,"(Professional Conduct) Provide counseling and supportive guidance regarding communication and swallowing disorders to patients, family, caregivers, and relevant others."
PHD 216L&S,Comm Sciences & Disorders PHD,MAJ,1,"(Foundations of Research) Possess foundational knowledge about the particular subject area of the chosen area, and be fully conversant with the classic and contemporary literature."
PHD 216L&S,Comm Sciences & Disorders PHD,MAJ,2,(Foundations of Research) Master data collection techniques specific to their chosen area of research.
PHD 216L&S,Comm Sciences & Disorders PHD,MAJ,3,(Foundations of Research) Fully conversant with the theoretical issues and tensions within their chosen area of research.
PHD 216L&S,Comm Sciences & Disorders PHD,MAJ,4,(Foundations of Research) Gain high-level knowledge and expertise in the statistical analysis of research data and graphical approaches to exploration of data sets.
PHD 216L&S,Comm Sciences & Disorders PHD,MAJ,5,(Foundations of Research) Communicate complex ideas in a clear and understandable manner.
PHD 216L&S,Comm Sciences & Disorders PHD,MAJ,6,(Dissertation) Design and execute an original experiment (or experiments) that clearly fills a gap in the existing literature and is worthy of publication(s) in peer-reviewed journals.
PHD 216L&S,Comm Sciences & Disorders PHD,MAJ,7,"(Dissertation) Skill, experience, and knowledge base to defend the dissertation work to a committee of five faculty members."
PHD 216L&S,Comm Sciences & Disorders PHD,MAJ,8,(Professional Conduct) Design and conduct experiments.
PHD 216L&S,Comm Sciences & Disorders PHD,MAJ,9,"(Professional Conduct) Formulate research questions that are based on sound analyses of existing literature, and that show evidence of logical argument."
PHD 216L&S,Comm Sciences & Disorders PHD,MAJ,10,(Professional Conduct) Understand how to examine data for patterns that are meaningful and patterns that reflect likely data collection errors.
PHD 216L&S,Comm Sciences & Disorders PHD,MAJ,11,(Professional Conduct) Write research proposals and learn to develop carefully argued proposals and explanations.
PHD 216L&S,Comm Sciences & Disorders PHD,MAJ,12,(Professional Conduct) Make presentations of their research at national and international conferences.
PHD 216L&S,Comm Sciences & Disorders PHD,MAJ,13,"(Professional Conduct) Pass a summary exam (6 hours written, 2 hours oral) that admits them to candidacy for the PhD degree."
GCRT211,Comm-Engaged Scholrshp GCrt,CRT,1,Apply theory and effective practices in the conduct  of community-based research and evaluation.
GCRT211,Comm-Engaged Scholrshp GCrt,CRT,2,Utilize theories of translational and transformative learning and community change in performing engaged scholarship.
GCRT211,Comm-Engaged Scholrshp GCrt,CRT,3,Develop mutually beneficial and equitable partnerships with community organizations and members.
GCRT211,Comm-Engaged Scholrshp GCrt,CRT,4,Design and evaluate community-based programs for education and outreach using collaborative and participatory approaches.
GCRT211,Comm-Engaged Scholrshp GCrt,CRT,5,"Demonstrate application of community-engaged scholarship through a presentation, report or other artifact involving a public/community audience."
GCRT211,Comm-Engaged Scholrshp GCrt,CRT,6,Cultivate a leadership style and communication skills that engage community partners in scholarship.
GMIN211,Comm-Engaged Scholrshp MIN,MIN,1,Apply theory and effective practices in the conduct of community-based research and evaluation.
GMIN211,Comm-Engaged Scholrshp MIN,MIN,2,Utilize theories of translational and transformative learning and community change in performing engaged scholarship.
GMIN211,Comm-Engaged Scholrshp MIN,MIN,3,Develop mutually beneficial and equitable partnerships with community organizations and members. 
GMIN211,Comm-Engaged Scholrshp MIN,MIN,4,Design and evaluate community-based programs for education and outreach using collaborative and participatory approaches.
GMIN211,Comm-Engaged Scholrshp MIN,MIN,5,"Demonstrate application of community-engaged scholarship through a presentation, report or other artifact involving a public/community audience."
GMIN211,Comm-Engaged Scholrshp MIN,MIN,6,Cultivate a leadership style and communication skills that engage community partners in scholarship.
BA  201,Communication Arts BA,MAJ,1,Demonstrate an understanding of core content in either of the two tracks: Communication Science and Rhetorical Studies or Radio-TV-Film.
BA  201,Communication Arts BA,MAJ,2,"Conduct theoretical, historical, and critical analyses of communication arts, demonstrating use of research methodologies and analytic tools/techniques appropriate to their tracks."
BA  201,Communication Arts BA,MAJ,3,"Demonstrate an ability to communicate effectively in writing, orally, or via the creation of media content (e.g., digital, film)."
MA  201L&S,Communication Arts MA,MAJ,1,"Articulates, critiques, or elaborates the theories, research methods, and approaches to inquiry or schools of practice in the field of study."
MA  201L&S,Communication Arts MA,MAJ,2,Identifies sources and assembles evidence pertaining to questions or challenges in the field of study.
MA  201L&S,Communication Arts MA,MAJ,3,"Demonstrates understanding of the primary field of study in a historical, social, or global context."
MA  201L&S,Communication Arts MA,MAJ,4,Selects and/or utilizes the most appropriate methodologies and practices.
MA  201L&S,Communication Arts MA,MAJ,5,Evaluates or synthesizes information pertaining to questions or challenges in the field of study.
MA  201L&S,Communication Arts MA,MAJ,6,Communicates clearly in ways appropriate to the field of study.
MA  201L&S,Communication Arts MA,MAJ,7,Recognizes and applies principles of ethical and professional conduct.
PHD 201L&S,Communication Arts PHD,MAJ,1,"Articulates research problems, potentials, and limits with respect to theory, knowledge, or practice within the field of study."
PHD 201L&S,Communication Arts PHD,MAJ,2,"Formulates ideas, concepts, designs, and/or techniques beyond the current boundaries of knowledge within the field of study."
PHD 201L&S,Communication Arts PHD,MAJ,3,"Creates research, scholarship, or performance that makes a substantive contribution."
PHD 201L&S,Communication Arts PHD,MAJ,4,Demonstrates breadth within their learning experiences.
PHD 201L&S,Communication Arts PHD,MAJ,5,Advances contributions of the field of study to society.
PHD 201L&S,Communication Arts PHD,MAJ,6,Communicates complex ideas in a clear and understandable manner.
PHD 201L&S,Communication Arts PHD,MAJ,7,Fosters ethical and professional conduct.
ALS 886,Community & Env Soc BS,MAJ,1,Understand how social science arguments are constructed and evaluated.
ALS 886,Community & Env Soc BS,MAJ,2,Develop ability to assess data quality and understand whether particular data is appropriate to answer specific questions.
ALS 886,Community & Env Soc BS,MAJ,3,"Learn general theories on basic social processes, especially those related to the relationships between society and the environment and the social organization of communities."
ALS 886,Community & Env Soc BS,MAJ,4,Learn communication skills in the social sciences.
HEC 412,Community&Nonprofit Ldrshp BS,MAJ,1,"(Ecological perspectives on community and society)  Articulate and apply an ecological perspective at discrete levels of analysis (individual, group, community, and society)."
HEC 412,Community&Nonprofit Ldrshp BS,MAJ,2,"(Civic literacy and the public sphere) Assess the major trends in civil society recognizing the influence and interconnectedness across the major sectors of society and exhibit strong capacity for sustained, high impact participation in civic life."
HEC 412,Community&Nonprofit Ldrshp BS,MAJ,3,"(Identity, diversity, and social justice) Recognize well-being and social justice as relational and position, applying these principles in community organizing and empowerment."
HEC 412,Community&Nonprofit Ldrshp BS,MAJ,4,(Organizational management and professional development) Demonstrate entry-level knowledge and skills relevant to nonprofit and community organizations and exhibit the practices of a lifelong learner.
HEC 412,Community&Nonprofit Ldrshp BS,MAJ,5,"(Research, analysis, and communication) Vet and/or generate high quality data, perform relevant analyses, and share results with target audiences using oral, written, and visual communication techniques."
HEC 412,Community&Nonprofit Ldrshp BS,MAJ,6,"(Leadership, ethics, and well-being) Recognize the value of being a reflective, ethical leader who cultivates others? strengths and leadership capabilities, while exhibiting self-care and care for others."
UNCS412,Community&Nonprofit Ldrshp CAP,CAP,1,"Identify and describe key competencies for thoughtful, effective leadership and participation in the community and non-profit sectors and in other mission-based enterprises."
UNCS412,Community&Nonprofit Ldrshp CAP,CAP,2,"Evaluate current trends and common or novel approaches to issues in community, nonprofit, and mission-based enterprise, taking into consideration historic lessons learned and observations and experiences from the field, in addition to scholarly critique."
UNCS412,Community&Nonprofit Ldrshp CAP,CAP,3,"Obtain familiarity and comfort with particular tasks, strategies, and efforts commonly needed for leadership and change agent roles in mission-based work; obtain skills in independent professional development to remain apprised of changing trends and approaches"
UNCS412,Community&Nonprofit Ldrshp CAP,CAP,4,Refine skills and competencies that can be directly applied in mission-based work.  
UNCS412,Community&Nonprofit Ldrshp CAP,CAP,5,Make connections with a network of practitioners and other change agents who will serve as collegial resources for future mission-based work.
MS  221VET,Comp Biomedical Sciences MS,MAJ,1,"Articulates, critiques, or elaborates the theories, research methods, and approaches to inquiry and/or schools of practice in the field of study."
MS  221VET,Comp Biomedical Sciences MS,MAJ,2,Articulates sources and assembles evidence pertaining to questions or challenges in the field of study.
MS  221VET,Comp Biomedical Sciences MS,MAJ,3,Assesses and/or applies methodologies and practices in the field of study.
MS  221VET,Comp Biomedical Sciences MS,MAJ,4,"Articulates challenges involved in practicing the field of study, elucidates its leading edges, and delineates its current limits with respect to theory, knowledge, and/or practice."
MS  221VET,Comp Biomedical Sciences MS,MAJ,5,"Appreciates the implication of the primary field of study in terms of challenges, trends, and developments in a broader scientific context."
MS  221VET,Comp Biomedical Sciences MS,MAJ,6,"Demonstrates abilities to apply knowledge through critical thinking, inquiry, and analysis to solve problems, engage in scholarly work, and/or produce creative products."
MS  221VET,Comp Biomedical Sciences MS,MAJ,7,"Evaluates, assesses or refines information resources or an information base within the field."
MS  221VET,Comp Biomedical Sciences MS,MAJ,8,Communicates clearly in styles appropriate to the field of study.
MS  221VET,Comp Biomedical Sciences MS,MAJ,9,Recognizes and applies ethical conduct and professional guidelines.
PHD 221VET,Comp Biomedical Sciences PHD,MAJ,1,"Articulates, critiques, or elaborates the theories, research methods, and approaches to inquiry and/or schools of practice in the field of study."
PHD 221VET,Comp Biomedical Sciences PHD,MAJ,2,Articulates sources and assembles evidence pertaining to questions or challenges in the field of study.
PHD 221VET,Comp Biomedical Sciences PHD,MAJ,3,Assesses and/or applies methodologies and practices in the field of study.
PHD 221VET,Comp Biomedical Sciences PHD,MAJ,4,"Articulates challenges involved in practicing the field of study, elucidates its leading edges, and delineates its current limits with respect to theory, knowledge, and/or practice."
PHD 221VET,Comp Biomedical Sciences PHD,MAJ,5,"Appreciates the implication of the primary field of study in terms of challenges, trends, and developments in a broader scientific context."
PHD 221VET,Comp Biomedical Sciences PHD,MAJ,6,"Initiates, assembles, arranges and/or reformulates ideas, concepts, designs, and/or techniques in carrying out a project beyond conventional boundaries."
PHD 221VET,Comp Biomedical Sciences PHD,MAJ,7,"Engages diverse cultural, historical or scientific perspectives and articulates how these perspectives contribute to a project, paper or performance."
PHD 221VET,Comp Biomedical Sciences PHD,MAJ,8,"Demonstrates abilities to apply knowledge through critical thinking, inquiry, and analysis to solve problems, engage in scholarly work, and/or produce creative products."
PHD 221VET,Comp Biomedical Sciences PHD,MAJ,9,"Evaluates, assesses or refines information resources or an information base within the field."
PHD 221VET,Comp Biomedical Sciences PHD,MAJ,10,Communicates clearly in styles appropriate to the field of study.
PHD 221VET,Comp Biomedical Sciences PHD,MAJ,11,"Develops hypothesis, creates research, scholarship or performance that makes a substantive contribution to the field of study."
PHD 221VET,Comp Biomedical Sciences PHD,MAJ,12,Demonstrates breadth within their learning experiences.
PHD 221VET,Comp Biomedical Sciences PHD,MAJ,13,Implements methodologies and/or practices to test hypotheses and illustrates the implications of the experimental outcome to the field of study and its relationship to allied fields.
PHD 221VET,Comp Biomedical Sciences PHD,MAJ,14,Develops new concepts and methodologies and/or identifies new research opportunities.
PHD 221VET,Comp Biomedical Sciences PHD,MAJ,15,Communicates complex and/or ambiguous ideas clearly.
PHD 221VET,Comp Biomedical Sciences PHD,MAJ,16,Evaluates the implications of one?s own scholarship/research/performance to broader scientific advancement.
PHD 221VET,Comp Biomedical Sciences PHD,MAJ,17,Recognizes and applies ethical conduct and professional guidelines.
PHD 221VET,Comp Biomedical Sciences PHD,MAJ,18,Fosters ethical conduct and professional guidelines.
BA  225,Comp Lit and Folklore St BA,MAJ,1,Literary fluency in a language other than English.
BA  225,Comp Lit and Folklore St BA,MAJ,2,Comparative understanding of a selected range of literary and cultural texts.
BA  225,Comp Lit and Folklore St BA,MAJ,3,Critical intellectual familiarity with concepts and theories of the literary and of the comparative.
BA  225,Comp Lit and Folklore St BA,MAJ,4,Ability to engage in the comparative analysis of literary and cultural texts.
BA  225,Comp Lit and Folklore St BA,MAJ,5,"Critical reading, thinking, writing, and speaking skills to express and communicate the above."
MA  225L&S,Comp Lit and Folklore St MA,MAJ,1,"Articulates, critiques, or elaborates the theories, research methods, and approaches to inquiry and schools of practice in comparative humanities."
MA  225L&S,Comp Lit and Folklore St MA,MAJ,2,Identifies sources and assembles evidence pertaining to questions or challenges in comparative humanities.
MA  225L&S,Comp Lit and Folklore St MA,MAJ,3,"Demonstrates understanding of comparative humanities in a historical, social, or global context."
MA  225L&S,Comp Lit and Folklore St MA,MAJ,4,Selects and/or utilizes the most appropriate methodologies and practices.
MA  225L&S,Comp Lit and Folklore St MA,MAJ,5,Evaluates or synthesizes information to questions or challenges in comparative humanities.
MA  225L&S,Comp Lit and Folklore St MA,MAJ,6,Communicates clearly in ways appropriate to comparative humanities.
MA  225L&S,Comp Lit and Folklore St MA,MAJ,7,Recognizes and applies principles of ethical and professional conduct.
PHD 225L&S,Comp Lit and Folklore St PHD,MAJ,1,"Articulates research problems, potentials, and limits with respect to theory, knowledge, and practice in comparative humanities."
PHD 225L&S,Comp Lit and Folklore St PHD,MAJ,2,"Formulates ideas, concepts, designs, and/or techniques beyond the current boundaries of knowledge in comparative humanities."
PHD 225L&S,Comp Lit and Folklore St PHD,MAJ,3,"Creates research, scholarship, or performance that makes a substantive contribution."
PHD 225L&S,Comp Lit and Folklore St PHD,MAJ,4,Demonstrates breadth within their learning experiences.
PHD 225L&S,Comp Lit and Folklore St PHD,MAJ,5,Advances contributions in comparative humanities to society.
PHD 225L&S,Comp Lit and Folklore St PHD,MAJ,6,Communicates complex ideas in a clear and understandable manner.
PHD 225L&S,Comp Lit and Folklore St PHD,MAJ,7,Fosters ethical and professional conduct.
UNCS214,Comp Sci for Professionals CAP,CAP,1,Recognize and apply the core principles of Computing (abstractions and algorithms) to solve real-world problems.
UNCS214,Comp Sci for Professionals CAP,CAP,2,"Use fundamental and detailed knowledge, skills, and tools (e.g., specific algorithms, techniques methods, etc.) of computer science and develop the ability to acquire new knowledge, skills, and tools."
UNCS214,Comp Sci for Professionals CAP,CAP,3,Design and implement software.
UNCS214,Comp Sci for Professionals CAP,CAP,4,Can solve problems by applying a broad toolbox of knowledge and techniques
CMPE226,Computer Engineering BS,MAJ,1,"an ability to identify, formulate, and solve complex engineering problems by applying principles of engineering, science, and mathematics"
CMPE226,Computer Engineering BS,MAJ,2,"an ability to apply engineering design to produce solutions that meet specified needs with consideration of public health, safety, and welfare, as well as global, cultural, social, environmental, and economic factors"
CMPE226,Computer Engineering BS,MAJ,3,an ability to communicate effectively with a range of audiences
CMPE226,Computer Engineering BS,MAJ,4,"an ability to recognize ethical and professional responsibilities in engineering situations and make informed judgments, which must consider the impact of engineering solutions in global, economic, environmental, and societal contexts"
CMPE226,Computer Engineering BS,MAJ,5,"an ability to function effectively on a team whose members together provide leadership, create a collaborative and inclusive environment, establish goals, plan tasks, and meet objectives"
CMPE226,Computer Engineering BS,MAJ,6,"an ability to develop and conduct appropriate experimentation, analyze and interpret data, and use engineering judgment to draw conclusions"
CMPE226,Computer Engineering BS,MAJ,7,"an ability to acquire and apply new knowledge as needed, using appropriate learning strategies."
BA  229,Computer Sciences BA,MAJ,1,Recognize and apply the core principles of Computing (abstractions and algorithms) to solve real-world problems.
BA  229,Computer Sciences BA,MAJ,2,"Describe and apply the theoretical foundations of Computer Science (e.g., complexity analysis) in practical settings."
BA  229,Computer Sciences BA,MAJ,3,"Demonstrate knowledge of key elements of computer systems, e.g., hardware, operating systems, networks."
BA  229,Computer Sciences BA,MAJ,4,"Use fundamental and detailed knowledge, skills, and tools (e.g., specific algorithms, techniques methods, etc.) of computer science and develop the ability to acquire new knowledge, skills, and tools."
BA  229,Computer Sciences BA,MAJ,5,"Design, implement, and evaluate software in multiple programming paradigms and languages."
BA  229,Computer Sciences BA,MAJ,6,"Develop a substantial piece of software, and recognize the challenges of designing and developing software."
BA  229,Computer Sciences BA,MAJ,7,"Exhibit technical (designing, implementing, and testing) and teamwork (communication, collaboration, and professional practice) skills in order to develop solutions as a computer science practitioner."
BA  229,Computer Sciences BA,MAJ,8,Can solve problems by applying a broad toolbox of knowledge and techniques.
MS  229L&S,Computer Sciences MS,MAJ,1,"Articulates, critiques, or elaborates the theories, research methods, and approaches to inquiry or schools of practice in the field of study."
MS  229L&S,Computer Sciences MS,MAJ,2,Identifies sources and assembles evidence pertaining to questions or challenges in the field of study.
MS  229L&S,Computer Sciences MS,MAJ,3,Applies design and development principles in the construction of software systems of varying complexity.
MS  229L&S,Computer Sciences MS,MAJ,4,Applies foundational principles in practical applications.
MS  229L&S,Computer Sciences MS,MAJ,5,"Independently acquires, synthesizes and applies required information pertaining to challenges in computer science."
MS  229L&S,Computer Sciences MS,MAJ,6,Communicates clearly in ways appropriate to the field of study.
PHD 229L&S,Computer Sciences PHD,MAJ,1,"Articulates research problems, potentials, and limits with respect to theory, knowledge, or practice within the field of study."
PHD 229L&S,Computer Sciences PHD,MAJ,2,"Formulates ideas, concepts, designs, and/or techniques beyond the current boundaries of knowledge within the field of study."
PHD 229L&S,Computer Sciences PHD,MAJ,3,"Creates research, scholarship, or performance that makes a substantive contribution."
PHD 229L&S,Computer Sciences PHD,MAJ,4,Demonstrates breadth within their learning experiences.
PHD 229L&S,Computer Sciences PHD,MAJ,5,Advances contributions of the field of study to society.
PHD 229L&S,Computer Sciences PHD,MAJ,6,Communicates complex ideas in a clear and understandable manner.
PHD 229L&S,Computer Sciences PHD,MAJ,7,Fosters ethical and professional conduct.
CERT229,Computer Sciences UCrt,CRT,1,Recognize and apply the core principles of Computing (abstractions and algorithms) to solve real-world problems.
CERT229,Computer Sciences UCrt,CRT,2,"Use fundamental and detailed knowledge, skills, and tools (e.g., specific algorithms, techniques methods, etc.) of computer science and develop the ability to acquire new knowledge, skills, and tools."
CERT229,Computer Sciences UCrt,CRT,3,"Design, implement, and evaluate software in multiple programming paradigms and languages."
CERT229,Computer Sciences UCrt,CRT,4,Can solve problems by applying a broad toolbox of knowledge and techniques.
BA  108,Conservation Biology BA,MAJ,1,Explain the basic concepts of ecology and evolution and how they underpin and apply to the science of conservation biology.
BA  108,Conservation Biology BA,MAJ,2,"Understand and explain the scientific process as related to conservation biology, including the relevance of theories and how hypotheses are tested."
BA  108,Conservation Biology BA,MAJ,3,"Recognize species within some particular group of organisms and explain key aspects of their ecology, phylogeny, and conservation needs."
BA  108,Conservation Biology BA,MAJ,4,"Apply general ecological principles to assess and address conservation threats to particular species, communities, and ecosystems."
BA  108,Conservation Biology BA,MAJ,5,Investigate and communicate the connections between the biological and social sciences and humanities as they affect conservation programs and activities.
BA  108,Conservation Biology BA,MAJ,6,"Identify, interpret, and communicate conservation ideas, needs and programs to others."
UNCS215,Consumer Health Advocacy CAP,CAP,1,Develop advocacy capacity that emphasizes patient empowerment.
UNCS215,Consumer Health Advocacy CAP,CAP,2,"Develop critical health advocacy competencies including communication, collaborative decision  making, cultural humility, and ethics."
UNCS215,Consumer Health Advocacy CAP,CAP,3,"Experience the discipline of advocacy from a case-based perspective, and explore how various key advocacy roles can be useful in specific situations."
UNCS215,Consumer Health Advocacy CAP,CAP,4,Gain familiarity with the U. S. health care delivery system and the systemic problems that give rise to the need for advocacy at the individual organizational and policy levels.
GCRT255,Consumer Health Advocacy GCrt,CRT,1,Develop advocacy capacity that emphasizes patient empowerment.
GCRT255,Consumer Health Advocacy GCrt,CRT,2,"Develop critical health advocacy competencies including communication, collaborative decision  making, cultural humility, and ethics."
GCRT255,Consumer Health Advocacy GCrt,CRT,3,"Experience the discipline of advocacy from a case-based perspective, and explore how various key advocacy roles can be useful in specific situations."
GCRT255,Consumer Health Advocacy GCrt,CRT,4,Gain familiarity with the U. S. health care delivery system and the systemic problems that give rise to the need for advocacy at the individual organizational and policy levels.
MS  239EDU,Counseling MS,MAJ,1,"Develop knowledge foundational to the practice of mental health counseling including normative and nonnormative human development; individual, group, and couples/family counseling; cultural and social diversity. measurement and evaluation; and exposure to crisis, trauma, and stress."
